 ,Slice,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,,background
54,54,25555774,262601552,25536508,262403584,25529026.6,262326704,25530084,262337568,25528826,262324640,25540410,262443680,25528326,262319504,25527610,262312144,25531530,262352416,25536860,262407200,25543458,262475008,25544600,262486736,25556596,262610000,25528090,262317088,25528916,262325552,25526712,262302928,25526028,262295888,25527814,262314240,25528936,262325760,25527140,262307328,25527584,262311888,25526480,262300544,25364994,262285456
55,55,25554962,262593200,25536196,262400384,25528870.12,262325096,25529884,262335520,25528712,262323472,25540250,262442032,25528244,262318656,25527738,262313472,25531560,262352736,25536584,262404368,25542840,262468656,25544224,262482880,25555290,262596576,25528006,262316208,25528766,262324032,25526540,262301152,25526020,262295808,25527852,262314640,25529044,262326880,25526740,262303216,25527638,262312432,25526484,262300576,25364594,262281312
56,56,25554042,262583744,25535828,262396592,25528744.29,262323803,25529778,262334416,25528722,262323568,25540300,262442544,25528342,262319664,25527742,262313504,25531558,262352720,25536734,262405904,25542792,262468160,25543868,262479216,25554328,262586688,25527906,262315184,25528870,262325088,25526460,262300336,25526036,262295984,25527836,262314464,25529002,262326464,25527016,262306048,25527670,262312768,25526430,262300032,25364786,262283312
57,57,25553298,262576096,25535618,262394432,25528975.9,262326183,25529772,262334368,25528888,262325280,25540310,262442640,25528454,262320816,25527912,262315248,25531700,262354176,25536632,262404848,25542610,262466272,25543824,262478768,25553842,262581696,25527962,262315760,25529030,262326736,25526714,262302928,25526098,262296608,25527982,262315968,25529162,262328096,25526894,262304784,25527732,262313408,25526562,262301376,25364868,262284160
58,58,25552610,262569024,25535400,262392192,25528780.59,262324176,25529702,262333632,25528624,262322576,25540308,262442624,25528398,262320256,25527928,262315408,25531656,262353728,25536550,262404016,25542670,262466896,25544016,262480736,25553622,262579424,25527898,262315104,25528838,262324768,25526512,262300864,25526148,262297120,25528030,262316448,25529196,262328432,25526856,262304400,25527822,262314320,25526640,262302176,25364768,262283104
59,59,25552334,262566192,25535440,262392592,25528916.64,262325574,25529810,262334752,25528670,262323040,25540260,262442128,25528426,262320528,25527812,262314224,25531506,262352192,25536562,262404128,25542722,262467424,25544176,262482368,25553668,262579920,25528042,262316592,25529020,262326624,25526592,262301696,25526168,262297328,25527930,262315424,25529074,262327184,25527042,262306304,25527830,262314416,25526678,262302576,25364922,262284704
60,60,25552484,262567744,25535490,262393120,25528932.21,262325734,25529868,262335344,25528706,262323408,25540374,262443296,25528570,262322016,25528056,262316720,25531784,262355040,25536388,262402336,25542776,262467984,25544350,262484176,25554098,262584336,25528052,262316688,25529072,262327184,25526598,262301760,25526192,262297584,25528132,262317504,25529384,262330384,25527078,262306688,25527770,262313792,25526596,262301712,25364956,262285056
61,61,25552668,262569632,25535534,262393568,25528979.5,262326220,25529808,262334736,25528846,262324848,25540042,262439904,25528390,262320160,25527908,262315216,25531700,262354176,25536228,262400704,25542726,262467488,25544330,262483968,25554450,262587952,25528034,262316512,25529262,262329136,25526694,262302736,25526110,262296736,25527984,262315984,25529380,262330320,25527082,262306736,25527748,262313568,25526560,262301360,25364920,262284688
62,62,25553142,262574512,25535714,262395424,25529031.18,262326751,25529728,262333904,25528764,262324000,25539798,262437392,25528406,262320336,25527996,262316112,25531772,262354912,25536400,262402464,25543118,262471504,25544522,262485920,25554768,262591216,25527958,262315728,25529232,262328800,25526722,262303024,25526210,262297760,25528050,262316656,25529574,262332320,25527302,262308992,25527890,262315024,25526696,262302752,25365090,262286448
63,63,25553398,262577120,25535890,262397232,25529026.7,262326705,25529782,262334480,25528716,262323504,25539682,262436208,25528418,262320448,25527938,262315520,25531728,262354464,25536164,262400048,25543188,262472224,25544496,262485664,25554888,262592448,25528090,262317088,25529318,262329696,25526724,262303040,25526168,262297328,25528004,262316192,25529506,262331616,25527288,262308848,25527802,262314128,25526578,262301552,25365094,262286496
64,64,25553432,262577488,25535878,262397104,25529015.8,262326593,25529696,262333584,25528772,262324096,25539510,262434432,25528526,262321568,25527774,262313840,25531824,262355440,25536074,262399120,25543418,262474576,25544600,262486736,25554900,262592576,25527984,262316000,25529294,262329456,25526766,262303472,25526216,262297808,25527776,262313856,25529320,262329712,25527264,262308608,25527882,262314944,25526646,262302240,25365032,262285840
65,65,25553492,262578096,25536106,262399456,25529199.54,262328481,25529876,262335424,25528902,262325408,25539644,262435792,25528694,262323280,25528148,262317664,25531918,262356416,25535936,262397696,25543448,262474896,25545252,262493424,25555294,262596624,25528218,262318384,25529514,262331712,25526952,262305392,25526386,262299568,25528128,262317472,25529634,262332944,25527226,262308192,25527948,262315616,25526716,262302960,25365044,262285968
66,66,25553042,262573472,25535694,262395200,25528966.37,262326085,25529606,262332656,25528636,262322688,25539408,262433376,25528462,262320912,25527912,262315248,25531722,262354400,25536042,262398800,25543560,262476032,25545426,262495232,25555120,262594816,25528012,262316272,25529290,262329424,25526750,262303312,25526104,262296688,25528182,262318016,25529484,262331408,25527354,262309504,25527984,262315984,25526782,262303632,25365034,262285872
