Image_file,set,treatment,plant,rep,leaf,petioleLength,bladeLength,bladeWidth,bladeArea,bladePerimeter,bladeCircularity,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,2,2.479,5.07,3.927,15.64,31.327,0.2,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,3,6.497,11.963,8.371,78.647,44.111,0.508,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,4,7.167,13.079,9.329,95.833,46.821,0.549,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,5,9.667,13.129,10.264,105.831,50.038,0.531,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,6,9.461,15.389,9.433,114.012,53.679,0.497,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,7,9.351,17.083,8.782,117.833,56.473,0.464,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,8,8.556,17.747,9.472,132.03,61.214,0.443,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,9,4.235,13.909,7.223,78.907,48.683,0.418,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,2,10,1.306,13.177,6.909,71.5,45.043,0.443,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,1,5.042,7.401,7.232,42.039,35.137,0.428,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,2,4.564,7.829,7.528,46.283,34.205,0.497,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,3,7.043,10.901,9.818,84.064,48.937,0.441,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,4,9.826,14.956,12.16,142.842,56.896,0.555,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,5,8.594,16.379,11.864,152.627,60.96,0.516,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,6,9.333,18.943,11.297,168.073,64.685,0.505,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,7,5.744,19.242,11.257,170.123,67.056,0.475,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,8,6.402,18.015,9.826,139.027,61.214,0.466,,
2016moreSASmut_exp3003.tif (blue),C,sun,NahG,1,9,4.498,19.755,10.139,157.312,67.733,0.431,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,1,5.001,6.48,5.687,28.943,28.194,0.458,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,2,4.843,7.022,6.018,33.19,29.041,0.495,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,3,7.92,12.954,9.599,97.656,49.107,0.509,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,4,7.523,14.863,10.034,117.134,54.356,0.498,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,5,9.624,16.45,10.385,134.177,58.335,0.495,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,6,8.398,18.822,9.862,145.786,63.669,0.452,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,7,8.291,19.166,10.068,151.555,63.839,0.467,,
2016moreSASmut_exp3003.tif (blue),C,sun,npr2/3/4,3,8,6.369,17.069,8.369,112.199,56.896,0.436,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,1,3.672,6.487,5.112,26.043,37.761,0.23,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,2,5.189,7.584,7.019,41.81,32.343,0.502,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,3,5.527,12.098,8.876,84.335,48.175,0.457,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,4,7.584,15.88,10.91,136.077,59.944,0.476,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,5,10.524,21.561,11.981,202.892,78.74,0.411,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,4,6,11.767,19.437,11.713,178.797,70.951,0.446,,
